id;bandas;comuna;cut_comuna;region;cut_region;titulo;fuente;url;fecha;bandas_nombre
801760265d65c9dfc2c0362137eaac2f;tren aragua;Concepción;8101;Biobío;8;Valencia y “Tren de Aragua” en Concepción: “Esa organización criminal no solo tiene actividades en el norte de Chile”;lanacion;https://www.lanacion.cl/valencia-y-tren-de-aragua-en-concepcion-esa-organizacion-criminal-no-solo-tiene-actividades-en-el-norte-de-chile/;2023-05-30;Tren de Aragua
b5d53eba9f6e5eb98d57cd4fa9acc33b;tren aragua;NA;NA;NA;NA;Siete detenidos por el homicidio y descuartizamiento de joven colombiano;lanacion;https://www.lanacion.cl/siete-detenidos-por-el-homicidio-y-descuartizamiento-de-joven-colombiano/;2023-05-30;Tren de Aragua
fce145f9af4c64d69927242121949e77;tren aragua;Concepción;8101;Biobío;8;Tren de Aragua en el sur: prisión preventiva para nueve integrantes de célula de la organización que operaba en Biobío;latercera;https://www.latercera.com/nacional/noticia/tren-de-aragua-en-el-sur-prision-preventiva-para-nueve-integrantes-de-celula-de-la-organizacion-que-operaba-en-biobio/QJ7RKL2BQ5DOPC6YEOJFNYYM5Q/;2023-05-30;Tren de Aragua
7668834f1a0e41fde807697041e28fcc;tren aragua;Concepción;8101;Biobío;8;Fiscal nacional por Tren de Aragua: “Están todos nuestros mejores esfuerzos destinados a poder desbaratar una red de esa naturaleza”;latercera;https://www.latercera.com/nacional/noticia/fiscal-nacional-por-tren-de-aragua-estan-todos-nuestros-mejores-esfuerzos-destinados-a-poder-desbaratar-una-red-de-esa-naturaleza/WQ66HY6MEVA27DHAUQM5E4STXU/;2023-05-30;Tren de Aragua
06805e579da988aad411a3cf62c4efb4;tren aragua;Concepción;8101;Biobío;8;"Los temidos Mary y ""Caliche"": Habrían liderado el Tren de Aragua en Concepción y explotado sexualmente a varias mujeres";meganoticias;https://www.meganoticias.cl/nacional/415584-mary-caliche-pareja-lidero-tren-de-aragua-concepcion-y-atemorizo-30-05-2023.html;2023-05-30;Tren de Aragua
3532089fa32751bc6b95ad0e72e1196b;tren aragua;Concepción;8101;Biobío;8;Tren de Aragua en Concepción: Decretan prisión preventiva para nueve de los diez detenidos;meganoticias;https://www.meganoticias.cl/nacional/415539-prision-preventiva-integrantes-tren-de-aragua-concepcion-30-05-2023.html;2023-05-30;Tren de Aragua
714e4f5ed9137168a1df06efa5495048;tren aragua;NA;NA;NA;NA;"Se lucía en redes: El perfil ""Influencer"" y la vida de lujos de una de las líderes del Tren de Aragua en Concepción";meganoticias;https://www.meganoticias.cl/nacional/415527-mujer-mary-emilia-colmenarez-lider-tren-de-aragua-influencer-concepcion-tiktok-30-05-2023.html;2023-05-30;Tren de Aragua
0c2528182cebbdc7c34daebedbc1533f;tren aragua;NA;NA;NA;NA;El perfil de una de las líderes del Tren de Aragua en Concepción: presumía sus lujos en TikTok;publimetro;https://www.publimetro.cl/noticias/2023/05/30/el-perfil-de-una-de-las-lideres-del-tren-de-aragua-en-concepcion-presumia-sus-lujos-en-tiktok/;2023-05-30;Tren de Aragua
5526e6d385ff0576e6e0d369290e42c8;tren aragua;NA;NA;NA;NA;Mostrando armas en TikTok y haciéndose pasar por víctima: la “influencer” identificada como una de las líderes del Tren de Aragua en Concepción;theclinic;https://www.theclinic.cl/2023/05/30/influencer-identificada-una-de-las-lideres-tren-de-aragua-concepcion/;2023-05-30;Tren de Aragua
baab2588c06e58dd775010dfa29cbe92;tren aragua;NA;NA;NA;NA;PDI desbarata organización perteneciente al Tren de Aragua en Concepción: ejercían la trata de mujeres para el comercio sexual;agricultura;https://www.radioagricultura.cl/nacional/2023/05/29/pdi-desbarata-organizacion-perteneciente-al-tren-de-aragua-en-concepcion-ejercian-la-trata-de-mujeres-para-el-comercio-sexual/;2023-05-29;Tren de Aragua
05c0460e1df3a2ae91e6dcbf9beef41e;tren aragua;NA;NA;NA;NA;Explotación sexual, tráfico y armas: capturan a 10 miembros del Tren de Aragua en Concepción;biobio;https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/05/28/explotacion-sexual-trafico-y-armas-capturan-a-10-miembros-del-tren-de-aragua-en-concepcion.shtml;2023-05-29;Tren de Aragua
48bb79f22a5857f7f3457346b13e5d3c;tren aragua;NA;NA;NA;NA;"Este martes se decretarán las cautelares de miembros del ""Tren de Aragua"" que operaban en Concepción";biobio;https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/05/29/aplazan-hasta-el-martes-formalizacion-de-celula-de-tren-de-aragua-que-operaba-en-concepcion.shtml;2023-05-29;Tren de Aragua
eb2284bd8b2c6d3319b927fbffea496e;tren aragua;NA;NA;NA;NA;Brazo del Tren de Aragua en Arica: Confirman prisión preventiva de imputados por tráfico de drogas, porte de arma y municiones;elciudadano;https://www.elciudadano.com/actualidad/brazo-del-tren-de-aragua-en-arica-confirman-prision-preventiva-de-imputados-por-trafico-de-drogas-porte-de-arma-y-municiones/05/29/;2023-05-29;Tren de Aragua
5727378784c9a4307b868aab77776131;tren aragua;NA;NA;NA;NA;Capturan a 10 miembros del Tren de Aragua en Concepción acusados de explotación sexual, tráfico y armas;elciudadano;https://www.elciudadano.com/actualidad/capturan-a-10-miembros-del-tren-de-aragua-en-concepcion-acusados-de-explotacion-sexual-trafico-y-armas/05/29/;2023-05-29;Tren de Aragua
1b756809a81dbb9dad43b256777c1454;tren aragua;NA;NA;NA;NA;Cuáles son las acusaciones contra los 10 miembros del Tren de Aragua detenidos en Concepción;eldinamo;https://www.eldinamo.cl/pais/2023/05/29/cuales-son-las-acusaciones-contra-los-10-miembros-del-tren-de-aragua-detenidos-en-concepcion/;2023-05-29;Tren de Aragua
8318c6f82d0ce089ef35aa791ee599a6;tren aragua;Biobío;NA;Biobío;NA;Tren de Aragua en Concepción: Los delitos por los que la fiscalía formalizará a 10 integrantes de la banda;emol;http://www.emol.com/noticias/Nacional/2023/05/29/1096472/formlizacion-miembros-tren-aragua-concepcion.html;2023-05-29;Tren de Aragua
b66d183dabcb5d9249620b8c329880e2;tren aragua;Estación Central;13106;Metropolitana de Santiago;13;PDI registra 356 homicidios en lo que va del año: Arica cae y Aysén y Maule informan notorios aumentos;emol;http://www.emol.com/noticias/Nacional/2023/05/29/1096285/pdi-homicidios-bajan-2022.html;2023-05-29;Tren de Aragua
6b21c0fad49d387b8aed5c4ee35fe62e;tren aragua;NA;NA;NA;NA;El vínculo entre prófugo de muerte de carabinero Palma y el Tren de Aragua en Concepción: Carlos Cortez trabajaba para la banda;emol;http://www.emol.com/noticias/Nacional/2023/05/29/1096524/carlos-cortez-tren-aragua-concepcion.html;2023-05-29;Tren de Aragua
180c2acbd3ba592b4ef1d149783d080a;tren aragua;San Antonio;5601;Valparaíso;5;10 detenidos en megaoperativo de la PDI contra el “Tren de Aragua” en Concepción;lanacion;https://www.lanacion.cl/10-detenidos-en-megaoperativo-de-la-pdi-contra-el-tren-de-aragua-en-concepcion/;2023-05-29;Tren de Aragua
3a566223b91a7f86ed552a1fe26e0029;tren aragua;Santiago;13101;Metropolitana de Santiago;13;Carabineros confirma identidad del cuerpo hallado descuartizado en Santiago: hay tres bandas criminales en la mira;lanacion;https://www.lanacion.cl/carabineros-confirma-identidad-del-cuerpo-hallado-descuartizado-en-santiago-hay-tres-bandas-criminales-en-la-mira/;2023-05-29;Tren de Aragua
d2d351766b9144d0d8d791fb38798faa;tren aragua;Concepción;8101;Biobío;8;El Tren de Aragua en el sur: formalizan a integrantes de célula del cartel por explotación sexual y tráfico de drogas en Concepción;latercera;https://www.latercera.com/nacional/noticia/el-tren-de-aragua-en-el-sur-formalizan-a-celula-del-cartel-en-concepcion-por-explotacion-sexual-trafico-de-drogas-e-infraccion-a-la-ley-de-armas/OIO562DAIVF6RMRHNOTKBPCS6A/;2023-05-29;Tren de Aragua
d850d6cfc8c370f03699a4737ae0d28a;tren aragua;NA;NA;NA;NA;Deuda por arriendo sería el motivo del crimen: Lo que se sabe del caso del joven descuartizado en Santiago;meganoticias;https://www.meganoticias.cl/nacional/415496-joven-descuartizado-santiago-deuda-arriendo-pieza-motivo-crimen-29-05-2023.html;2023-05-29;Tren de Aragua
